,place_id,name,address,rating,contact_number,coordinates_lat,coordinates_lng
0,ChIJa9fULv60UjcRSZ5sm5oKabk,Fire Service and Civil Defence Station. Rangamati,"J5XM+PW7, N 106, Rangamati 4500, Bangladesh",4.5,01901-021637,22.6492784,92.18479839999999
1,ChIJVfqCU6LfrDARRgohFwBbYYk,Fire Station of Padma Oil Company Limited,"7R96+227, Chittagong, Bangladesh",2,03125-01096,22.26753,91.8100438
2,ChIJBeejIu_erDARhqmaY47rNnw,CEPZ Fire Station,"7QVJ+4F6, CEPZ Entry Rd, Chittagong 4223, Bangladesh",4.6,01958-237575,22.29278679999999,91.7811473
3,ChIJS7bBf0xJrTARElQUGrSY0Dk,"Fire Service and Civil Defence Station, Kaptai","F6RC+HCM, Kaptai, Bangladesh",5,01730-002463,22.4914722,92.2210327
5,ChIJv82AlzMjrTARdFCjRFd2A0w,Fire Service and Civil Defence,"7XRP+62G, Patiya, Bangladesh",4.3,01730-002430,22.2905728,91.98508749999999
6,ChIJXZJh7cUlrTAReVImIL2rfGM,"Boalkhali Fire Service Station, Chittagong","9WMF+39W, Thana Rd, Boalkhali, Bangladesh",4,01901-021597,22.382740599999998,91.9234493
8,ChIJDUZSxLAnrTARG78jO2Eh2K8,Kalurghat Modern Fire Service & Civil Defence Station,"Ward No 4, C&B More, BFIDC Rd, 9VQ6+3V4, Chandgaon Thana, Kalurghat, Chittagong, Bangladesh",4.6,01730-002423,22.3877292,91.8627472
9,ChIJW6eSqPMrrTAREFEHuCa3zs0,Raozan Fire Station,"GWM3+H7C, Chittagong - Rangamati Hwy, Raozan, Bangladesh",3.7,01901-021583,22.5339438,91.90313460000002
10,ChIJZSKqPewXrTAR9nkIOzMG0xw,Chandanaish Fire Station,"6242+WHQ, Bangladesh",5,01968-889965,22.207343,92.0014767
11,ChIJkwAJgRjNUjcRu1tjpGY0QbE,Fire Station Kawkhali,"J2MV+G78, Kawkhali, Bangladesh",4,01863-616419,22.6337852,92.04319749999999
13,ChIJu4Ig4kcnrTARB_bPZvokaZo,ফায়ার সার্ভিস ও সিভিল ডিফেন্স,"8VP2+55C, Chittagong, Bangladesh",3.8,01730-002419,22.3354466,91.8503752
14,ChIJ8_ZQAWcnrTARzSjJgxliHQM,"Fire Service and Civil Defence Station, Chandanpura.","8RXQ+XG5, নবাব সিরাজুদ্দৌল্লা সড়ক, Chittagong, Bangladesh",4.5,01730-002413,22.34988419999999,91.83884540000001
15,ChIJgw20tVknrTARxmp3zdLhXLE,Fire Service and Civil Defence Station Nandankanon,"8RPM+RQQ, Chittagong 4000, Bangladesh",4.8,01730-002412,22.3370861,91.8344922
16,ChIJ__8voyBqrTARWMguBrlXVFQ,Office of Assistant Director of Fire Service and Civil Defense Bandarban.,"56VF+C7W, Forest Colony, Bandarban, Bangladesh",N/A,01550-601761,22.1947607,92.2230902
17,ChIJKS-JkzIfrTARTxgUB2Ytm9M,ফায়ার সার্ভিস ও সিভিল ডিফেন্স স্টেশন আনোয়ারা চট্রগ্রাম,"6WF2+WCR, Anwara, Bangladesh",4,01901-021593,22.2248667,91.9010066
18,ChIJe9i4glcfrTARQ3nwTrqgMjU,Anowara Fire Station,"6WF2+WCC, Anowara Chandanaish Road(আনোয়ারা - চন্দনাইশ রোড)), Anowara, Bangladesh",4.2,01842-956222,22.2248068,91.9010109
19,ChIJDUB4y0HYrDARubFfr1gNP1c,Chittagong Fire Service & Civil Defence,"9RR6+QG9, Bayazid Bostami Rd, Chittagong, Bangladesh",4.3,01730-002417,22.3919217,91.81135049999999
40,ChIJ50Fi9rfYrDARlPX1TTIBlwI,"Bangladesh Fire Service and Civil Defense, Agrabad, Chittagong.","8RP7+44R Dewan Haat, Sheikh Mujib Rd, Chittagong, Bangladesh",4.4,01730-002408,22.3353526,91.8127598
41,ChIJ0z8dvXLWrDARQcZeREkjTuA,Hathazari Fire Service and Civil Defence,"GR36+8F8, Kacari Road, Hathazari, Bangladesh",4.1,01730-002427,22.5032955,91.8112079
42,ChIJX-GecCXfrDAR91_jLiGp64Y,Bandar Fire Service and Civil Defance Station,"8R52+JPJ, Port Internal Rd, Chittagong, Bangladesh",4,03125-20339,22.3133714,91.8012636
46,ChIJC9nDCK_frDARNPSRr-UnyPA,Fire Service and Civil Defence,"7R92+283, Chittagong, Bangladesh",N/A,01719-678720,22.2675108,91.80081129999999
